id,ip_address_v4,ip_address_v6,mac_address,latitude,longitude,zone,country_code,data_encrypt,trafficked_data,mesured_at
9a8e850c-e739-4543-b46e-7a5250823380,253.94.168.21,d379:ea6f:709c:edd3:fd50:8c5b:6cc5:53c0,89-32-02-AF-FC-8D,13.2317498,123.7702587,Asia/Manila,PH,ab350d6b84fadc1a24c5b8d89e084d4346871fe00852d3a90c53cdd61676dc3d,1243.0197,2022-04-19 08:26:09
ed044133-c36c-4c5d-b660-6f87f3759a66,58.154.17.191,96ab:6c58:beba:f4a5:97ff:886e:fe40:7364,42-D9-19-82-E7-0C,59.4744985,18.3007988,Europe/Stockholm,SE,853c0296393ec43304204cc4b0fe793ea2e001e87cb480c731a1dc8a574e0c12,84795.7185,2022-04-26 12:21:59
b599e465-9b2e-4350-8288-3ebd523be96b,47.192.248.27,28b7:10e1:c3f3:95d4:fe9c:768b:762e:8e92,3B-50-7F-41-29-C2,23.365556,116.70345,Asia/Chongqing,CN,873d0de6396e16c328cfc7177c4fce125cce11f38313f4ed445821b9635c108c,65724.5307,2022-04-08 12:22:45
6cd4d83c-3f88-4f6b-ad97-cafe0a94c22a,11.39.185.52,32ed:243:d999:69b7:8005:58d3:b8e9:4396,2C-91-E3-D4-8A-EA,-5.14445,119.438834,Asia/Makassar,ID,1620c7048c4c3c663c3a40d2a3828a45b8b492351075dcc64fcd4a85fce1ae05,16472.9689,2021-09-07 15:59:21
d6eda236-bc29-45fa-ab3c-b397764ec0cb,212.52.134.203,fd10:542:292a:edf2:2ac2:875:928f:39a1,73-79-1A-67-01-7F,57.4249887,60.0526098,Asia/Yekaterinburg,RU,fa75ba1d349b815714c4affef761c15a4852fb276e4c45c2d7fbca3f060e4972,10257.3888,2022-05-12 04:41:17
206fd5dd-3237-49d7-a1da-67c95cc4bbea,138.64.22.240,c9ef:104a:68e6:7492:ff9a:acc3:f523:5521,0E-28-C2-83-DF-97,45.4289,40.5244001,Europe/Moscow,RU,39f3d9f039559102b898e3c8013bc2dc4b3ef02f3fa0886cf38ad63833607bf3,17321.7262,2022-02-04 08:17:42
659c2886-dc36-4fe6-b0e9-46d042555eee,245.62.81.78,c42e:5764:8331:e0b2:6de6:f93a:2d27:31d8,FD-10-F5-2E-9A-2B,-8.339302,122.8366556,Asia/Makassar,ID,1ef9dd50d125025cac0a0159e11ab8d2891504038274c7df975368e7a9c87a7b,37233.4674,2022-06-17 10:29:21
cd179811-2f86-44b9-be9d-db7d479a163c,180.1.96.157,2143:c9e8:8c39:758a:b91a:36e1:1038:4bda,A2-88-39-E0-B1-69,-25.7677734,31.0242101,Africa/Johannesburg,ZA,73c0b58fb62c9d938d4af13177fc8f5e201ff4cec9915d022c1a9005660f2c7a,35270.0504,2021-12-20 00:33:11
3c25162e-a4f6-41e7-9455-9733b90a6ac6,219.121.121.203,b933:b509:cc19:93ca:f7ce:ced3:a2dd:6fab,EF-57-42-4D-81-45,28.759126,115.856121,Asia/Shanghai,CN,16bd3bd645ff806d98dbe63f6e091f51ef1f58d9b373c0c3c1d57aab75d6de83,44379.6441,2021-10-08 10:24:41
537d1441-eb29-426a-a0cb-37d2c7b8c901,15.22.176.209,7929:cdb6:5d2d:ad7a:545d:3dd8:b258:9588,0F-9E-75-4E-A9-73,40.2343129,44.2868976,Asia/Yerevan,AM,78600e4b27fac2b996480f50d1aa996545dd0aa99e51140a78d865f8c2e7492d,26967.7129,2022-02-14 11:51:45
4c3cbeae-bd95-4ef0-a6c7-c5f9e9a4c8f5,196.169.56.41,3fc2:194f:a568:82cb:e66c:a71:c331:f179,52-57-A1-38-99-7D,36.6589921,138.1877051,Asia/Tokyo,JP,ef3d44b07d611710cc2048ca41a7af14202db62f44dac443530ba8b53533b7fb,6290.9523,2022-04-07 17:51:35
a50ef161-acf5-49f8-a1d0-32c8fc548eb2,132.110.183.159,b782:5576:5a7f:f600:1cef:b01d:7477:49b,CD-E1-B5-5D-9B-77,1.558031,110.382845,Asia/Kuching,MY,0d97331ac347ef8fc19a9cbc67bfd2851bf0e41720666d2c045005a43d59ac8d,41640.2215,2022-01-07 08:44:58
b911efdb-08f8-4b88-b145-ba8463be4714,201.123.205.105,f850:c9ad:834b:90d7:56c7:58d0:b980:1422,C4-2F-D3-08-7C-05,-7.1259703,112.4023244,Asia/Jakarta,ID,c17974529f446724c93f754c7356d42a2cbf3cd08a8414e829c800e527fdc2c1,73288.7319,2022-07-03 08:42:50
