id,mac_address,ip_address_v4,ip_address_v6,temperature,longitude,latitude,zone_name,messure_at
df51c0bc-090a-4ece-a0be-3f4343ec8105,34-7B-4E-65-45-95,181.47.223.95,1ecb:b7b1:64b9:3500:e86f:6e7:496:7c5,1432.083,26.1385322,51.4238758,Europe/Kiev,2022-02-14
38f0e960-0223-4ea8-9e9b-32fc66dfae6c,A2-EA-0B-A4-45-1C,207.239.83.86,de12:f79f:403:f1f6:9d12:f534:a781:60fa,4.915,23.7617382,37.9768245,Europe/Athens,2022-01-07
7604237a-c33f-4ebe-8b80-0e51a9fd394c,FD-F3-E9-F0-ED-DE,231.10.189.88,4b72:7001:51c7:447c:a413:d857:1d25:527,372.227,114.6667939,4.7140373,Asia/Brunei,2022-01-21
b772e0d1-1fce-4641-9587-fd41ce0b1d5d,EA-D4-73-65-90-22,85.110.115.118,4fbf:c3d6:919a:5e52:2f11:bd5d:fd07:a0e0,432.378,22.6973045,60.8560471,Europe/Helsinki,2022-06-03
a83a8177-5600-4e01-8046-4719ba69a8d1,A3-84-17-8A-B4-5B,210.185.88.117,6e9c:7355:3518:821:cbd7:e416:d266:2c2,1052.286,117.646567,36.702014,Asia/Chongqing,2022-05-07
cd699a91-6ed3-4dc0-bb40-2d9321332014,61-F7-C4-E4-86-F6,110.66.14.9,93cc:df74:a3dc:9f17:f4b0:332:c337:81bc,1111.74,115.038835,30.20003,Asia/Shanghai,2021-07-28
ac15c5d8-bb1d-46e4-9bda-099610f2ee2a,E4-A7-0D-65-D6-E2,110.96.103.133,69b7:11fa:5c:3fce:8960:8e2e:c46b:11df,1218.655,93.163273,36.909074,Asia/Urumqi,2022-04-28
061f0ffe-5f20-46ef-8b74-259432a356c0,B6-80-BC-86-2E-78,228.50.186.124,fe98:d2ce:4c99:1cae:a9a1:258e:4184:47d2,286.627,110.3164529,1.7533329,Asia/Kuching,2022-01-04
5b8a0aa1-f92b-4139-877c-bc1c7569016a,D5-1D-53-16-3B-FF,45.168.106.162,aa8f:63f1:e16b:87ef:e946:ef27:9046:fb01,1251.706,138.1877051,36.6589921,Asia/Tokyo,2022-05-27
44855f03-a241-4d4f-bfe6-725eb5652fa9,2B-5D-A7-4B-EC-38,108.191.61.54,90fd:6ce2:8c61:5a1d:7693:5043:debe:21ef,1472.812,24.0551606,59.3528754,Europe/Tallinn,2022-05-12
4b6d5d7f-4128-4e3f-91fb-41b50b0f9c58,5F-C7-B4-29-F1-45,154.85.141.74,8b35:6ef2:7fb3:af0:e549:23c6:469d:2e06,843.157,103.4524989,50.689974,Asia/Irkutsk,2021-11-04
1e8c7171-9ec5-4ca5-a154-dc7ddd04b014,7A-61-9D-3C-92-72,64.49.222.111,fb6a:93b8:1f95:25b5:8e30:75c7:7927:f560,757.378,85.5560635,26.8626548,Asia/Kathmandu,2021-09-14
5a048e7a-dcb9-4b90-8b91-1e48868b05b9,A3-0A-07-F0-10-E6,229.81.137.179,8f7e:36d6:7a47:d613:59d0:44ad:53a2:8512,477.3,46.0166879,40.8288144,Asia/Baku,2022-01-08
d58191db-cc57-408d-b70b-61ea7132d7b2,FF-32-E1-74-7B-BC,152.3.119.26,b264:16b0:90c0:a352:3fed:b23c:7019:e2b8,1484.054,-61.4014775,-27.9145782,America/Argentina/Cordoba,2022-03-19
9da1db53-4fd3-41ee-82cd-c7014ab3a274,DE-83-82-65-35-46,76.130.166.30,a8d3:fc9d:e61c:3192:2fc7:cd50:b80e:9969,915.754,22.4291464,-15.1689352,Africa/Lusaka,2021-09-27
ff93dfda-00a0-473c-9ace-6080ed5782dc,12-3C-A9-29-09-4C,105.179.158.180,acd2:c5ba:f090:fb48:9984:998a:85c8:d791,1161.203,74.2728564,32.4289299,Asia/Karachi,2021-10-10
